이름,주소,운영 시간,평점,이미지 주소,SNS 링크,주차 정보,리뷰1,리뷰2,리뷰3,경치가 좋은,넓은,사람 많은,인테리어 예쁜,사진찍기 좋은,조용한
스커트케이크샵,대구 중구 경상감영길 273 2층,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 토 12:00 - 20:00, 일 12:00 - 20:00, 월 12:00 - 20:00, 화 12:00 - 20:00, 수 정기휴무 (매주 수요일), 목 12:00 - 20:00, 금 12:00 - 20:00, - 자세한영업시간및휴무일은인스타그램을참조해주세요 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210613_66%2F1623565513029dL5DF_JPEG%2F32AklARXV5Cq_kyMsffQr9i_.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210613_120%2F1623565500031BoNGk_JPEG%2FGYu493RQfbc_tKrksbFacTji.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_266%2F1630658615372L35wi_JPEG%2F7VN78rtdu1wGlgq6tgPesang.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_54%2F1630658658690CX07l_JPEG%2F3eSwLB9oozyjLIxUFb8Mfzws.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjEyMjBfMTAx%2FMDAxNjcxNTMxMDI4NjY1.j_0ZPVR5qtyFXhZRKbbvAvRCWSgd3hMVpA1yHD16GyUg.gWzd-PaplkJ_J6aw_CpQrhIlrrUkIJVPiAJiZSbgXjog.JPEG%2FC8E5EC6B-ECDD-4CD0-918E-4783B5E3BCFB.jpeg""","""http://www.skirtcakeshop.com/, http://instagram.com/skirt_cakeshop""","주차 불가, 주차장 정보 없음",디저트가 맛있어요,친절해요,인테리어가 멋져요,9,0,0,39,19,2
이브닝글로우,대구 중구 동덕로36길 19 1층,"영업 중 19:00에 라스트오더 19시 0분에 라스트오더, 토 12:00 - 20:00 19:00 라스트오더, 일 12:00 - 20:00 19:00 라스트오더, 월 08:30 - 20:00 19:00 라스트오더, 화 08:30 - 20:00 19:00 라스트오더, 수 08:30 - 20:00 19:00 라스트오더, 목 08:30 - 20:00 19:00 라스트오더, 금 08:30 - 20:00 19:00 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20241010_293%2F1728527472072eWRbE_JPEG%2FtyWjGS5xzc_03.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240705_94%2F1720163750417WtQhC_JPEG%2FIMG_8044.JPEG, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240711_95%2F17206601338965zeFl_JPEG%2FIMG_5754.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240808_68%2F1723098518480p5Gev_JPEG%2FIMG_7050.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240816_75%2F1723780825151jdmXu_JPEG%2FIMG_8464.jpeg""","""https://blog.naver.com/cafeeveningglow, https://www.instagram.com/cafe_eveningglow?igsh=MXB5ZjYxYzJqcWZtYQ==""","주차 불가, 주차장 정보 없음",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,3,8,0,81,43,6
키츠네,대구 중구 태평로 253 1층 키츠네,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 토 11:00 - 22:00, 일 11:00 - 22:00, 월 11:00 - 22:00, 화 정기휴무 (매주 화요일), 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, - 9/30(월) 임시휴무, 10/1(화) 정상영업 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240710_247%2F172059204788573PpR_JPEG%2FIMG_6008.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241022_43%2F1729603986214t3LIQ_JPEG%2FF8FC74B0-1A48-4DE8-B641-DD22DE83CEB1.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240710_256%2F1720591623264jHK26_JPEG%2FIMG_6002.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240710_32%2F1720591623252UTLIw_JPEG%2FIMG_6004.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240710_234%2F1720591623215urRXg_JPEG%2FIMG_6003.jpeg""","""https://www.instagram.com/kitsune.openminded""","주차가능 무료, 매장 앞 1대 주차 가능하며 도보 2분거리 공영주차장 이용가능합니다 !",디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,0,4,0,32,13,1
카페자매집,대구 중구 동덕로36길 25 1층 파란문,"영업 중 21:50에 영업 종료 21시 50분에 영업 종료, 토 12:00 - 21:50, 일 정기휴무 (매주 일요일), 월 11:30 - 21:50, 화 11:30 - 21:50, 수 11:30 - 21:50, 목 11:30 - 21:50, 금 11:30 - 21:50, - 비정기 휴무는 인스타그램을 참고해주세요 접기",4.74,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240209_68%2F1707443939875KJmzF_JPEG%2F20230513_172236.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240209_82%2F17074436529718o13W_JPEG%2F20230513_172923.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240209_3%2F1707443636263ScdT3_JPEG%2F20230513_175632.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231220_89%2F1703066963387SzVFd_JPEG%2F1591073105973.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210916_19%2F1631786465662lLEXE_JPEG%2F4RDOZBgkLqo_ebB_Q8RhN6Kz.jpg""","""https://www.instagram.com/cafe_jamaejip""",알 수 없음,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,1,10,0,26,8,10
캐스트커피오피스,대구 중구 국채보상로131길 32 1층,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 토 13:00 - 20:00, 일 정기휴무 (매주 일요일), 월 08:00 - 19:00, 화 08:00 - 19:00, 수 08:00 - 19:00, 목 08:00 - 19:00, 금 08:00 - 19:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231109_175%2F16995099461316NAjF_JPEG%2FIMG_9273.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240307_7%2F170978782404815nmT_JPEG%2FKakaoTalk_20240307_134415362_01.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240321_293%2F1710999696961f0xCs_JPEG%2FIMG_0375.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240617_2%2F1718620179682fiUtM_JPEG%2FKakaoTalk_20240615_192651327.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240313_219%2F1710319960750KFLN8_JPEG%2FIMG_0269.jpeg""","""https://www.instagram.com/cast_coffee_office""","주차 불가, 주차장 정보 없음",커피가 맛있어요,친절해요,디저트가 맛있어요,0,10,0,19,10,4
구스노츠,대구 중구 동덕로 198-14 3층,"영업 중 21:00에 영업 종료 21시 0분에 영업 종료, 토 12:00 - 21:00, 일 12:00 - 21:00, 월 정기휴무 (매주 월요일), 화 12:00 - 21:00, 수 12:00 - 21:00, 목 12:00 - 21:00, 금 12:00 - 21:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240909_145%2F1725884943024URYOP_JPEG%2F%25B7%25CE%25B0%25ED%25C6%25C4%25C0%25CF.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA5MTBfODMg%2FMDAxNzI1OTI3MDEwODY3.Y2wFw-klePdTbqFuXWC5p-pwHV0SORK5iuhQZel0YWcg.ehUSs2LYpy3XPq2bzxu7FjYJrc2PGJh2G8TY2p9pgAkg.JPEG%2FC945451C-4E28-4E41-8C90-C9C35C12E277.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA5MDZfMTgg%2FMDAxNzI1NjExMDI1ODkx.RMXU1Zg8WD8GnrmF8G-AxgCQ9bZG-1gf4DLrUD81qsQg.AtrUz9MV0i9yhH8ECfsn_SSiq-vYC1X6v2qZR3WpBg4g.JPEG%2F1000024115.jpg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDEwMDVfMTU4%2FMDAxNzI4MTA5NDI5MTQw.M1gM_h5w_4xadgnsUT3DhEyZRRkQRX0-_ZhGEzhSZMcg.9IO_-UERgyJSLc1DifBAhyUejW8V8zgNKrd8wryk7W4g.JPEG%2F1000007236.jpg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MjlfMTQw%2FMDAxNzI0OTIyMDUyNzgy.ulA_z4BIV6xRW32UPRvRioaObsnj5UHwfuY8JqGD7lwg.b52-IIWtvtPSagYPFkV25m3xmk6ZUolG5aM4qBFq3qgg.JPEG%2F38578F65-F2EE-4760-999A-F52669E45C84.jpeg""","""https://www.instagram.com/_gusenots""","주차 불가, 주차장 정보 없음",인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,0,0,0,11,6,0
프레젠또케키,대구 중구 국채보상로131길 55 시티타운아파트상가 프레젠또케키,"영업 중 21:00에 영업 종료 21시 0분에 영업 종료, 토 12:00 - 21:00, 일 12:00 - 21:00, 월 정기휴무 (매주 월요일), 화 12:00 - 21:00, 수 12:00 - 21:00, 목 12:00 - 21:00, 금 12:00 - 21:00 접기",4.54,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240322_67%2F1711092980475xlRpo_JPEG%2FIMG_3547.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240322_225%2F1711093702227mlQ7A_JPEG%2FIMG_3549.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240322_284%2F1711093276147kMJUS_JPEG%2FIMG_2084.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240322_26%2F17110932187966aDl0_JPEG%2FIMG_2893.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240322_100%2F1711093701972faDUD_JPEG%2FIMG_3548.jpeg""","""http://instagram.com/prezentto_keki""",알 수 없음,,,,0,0,0,0,0,0
싱글톤커피,대구 중구 동덕로36길 3 1층 싱글톤커피,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 토 10:00 - 20:00, 일 10:00 - 20:00, 월 08:00 - 20:00, 화 08:00 - 20:00, 수 08:00 - 20:00, 목 08:00 - 20:00, 금 08:00 - 20:00, 매달 4번째 일, 토요일 정기 휴무 접기",4.76,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230119_89%2F1674116753887uY9mF_JPEG%2F1674116673581-0.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230119_68%2F1674116753992zhFgy_JPEG%2F1674116673581-1.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MzFfMTI3%2FMDAxNjg1NTMwMjkzNDA2.eWHSdgCTgiQb9BsUgc4qYNHYzE7w7kelp3yX7E5qmQsg.ebR3QnMj6YqCnY6aVDxFQP-aU68X6-rSsdDWVVmVzawg.JPEG%2F086F3AC9-FF20-45D9-B6A2-1D5A5C0B3A2D.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MjFfMTcx%2FMDAxNjg0NjI3MjQ5OTcz.M2Q8UDtgFWYc8X1jeeSDwqY2711fbBIQEXZEbT0VslAg.SA9VMMIAZa2KHKEd0bLNVeie01Dupcy3Cao4MB-JqdQg.JPEG%2F8941E93E-24D1-4318-B5B8-7857E2F02E48.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MThfMjMw%2FMDAxNjgxNzk3NjYxODQ2.VcsOjN6kU35lCZspmE78KEPVKSZ9fYp5NNg99Q7HECkg.-cz2tyHDUSvPAVNIqPiri4TERylxh7LDtKUTuozzBT8g.JPEG%2F53C73698-DB0A-441B-A33B-082450AE0D1D.jpeg""","""http://www.instagram.com/singletonecoffee""",알 수 없음,커피가 맛있어요,친절해요,매장이 청결해요,0,7,0,10,6,11
쉬크레마카롱,대구 중구 동덕로 194,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 토 10:30 - 20:00, 일 10:30 - 20:00, 월 정기휴무 (매주 월요일), 화 10:30 - 20:00, 수 10:30 - 20:00, 목 10:30 - 20:00, 금 10:30 - 20:00 접기",4.56,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_186%2F1602832560211trKGv_JPEG%2FOcqyr_5_gj8_m69-7rQGp_la.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_106%2F1602832559555KwyNT_JPEG%2FV4UOQJ7C2abAhziMNP6monJO.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_46%2F1602832558997ddTha_JPEG%2FOZKeAVbz74L77cPicoM47zKH.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_134%2F1602832559055uuhXI_JPEG%2FEJf0nATAGRrKy8-l9vNIxvF6.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_124%2F1602832559878L3dag_JPEG%2F8rhV-370i0llQzgqIjgFY1Ho.jpg""",링크 없음,알 수 없음,디저트가 맛있어요,친절해요,가성비가 좋아요,1,0,0,3,3,1
매스커피 시청점,대구 중구 국채보상로131길 40 1층 매스커피 시청점,"영업 중 20:00에 영업 종료 20시 0분에 영업 종료, 토 08:00 - 20:00, 일 08:00 - 20:00, 월 07:30 - 20:00, 화 07:30 - 20:00, 수 07:30 - 20:00, 목 07:30 - 20:00, 금 07:30 - 20:00 접기",4.44,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240919_243%2F1726707691578gJHqt_PNG%2F24%25B3%25E2_9%25BF%25F9_%25B0%25A1%25C0%25BB_%25BD%25C3%25C1%25F0_%25C0%25BD%25B7%25E1_3%25C1%25BE_%25C0%25CE%25BD%25BA%25C5%25B8_%25C7%25C7%25B5%25E5%25BF%25EB.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_100%2F1725608542048TTSSo_JPEG%2F24%25B3%25E2_8%25BF%25F9_%25BA%25A3%25C0%25CC%25C4%25BF%25B8%25AE_6%25C1%25BE_%25C0%25CE%25BD%25BA%25C5%25B8_%25C7%25C7%25B5%25E5%25BF%25EB_%25281%2529.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjExMDRfNTgg%2FMDAxNjY3NTM4ODU5ODU2.icx6c-Gp85fg-oH1g8Vih0abTHFsj025_ocRO3ZdBeMg._8XlzKza2YA12-33tkQRQtfRNxWHxwj_osk16-PzgZ4g.JPEG%2F1667538839222.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MjFfMjEy%2FMDAxNjg0NjY0MTA2NDM3.qQ2WdZueFQdlzzE-WlTjBBykjiFTRgzxaiH3Gd-YvuUg.jxifrisr2H8E7L94jslExZ8mvIg5zH8LfxVciB1XfwYg.JPEG%2F20230517_075649.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MDVfMTAy%2FMDAxNjgzMjY5MTkzNjE3.IPcLXLR-WQZDAC25kO-50zSwZKRQxLkCkhxG0PMzhPog.803p2u_D-_gGxHH_vArGVS49AcajDBWrrAGCQFfxZyMg.JPEG%2F20230505_154433.jpg""","""https://www.instagram.com/masscoffee_ch/, https://mass-coffee.com/""","주차가능 무료, 매스커피 시청점 주차 공간이 한정되어 있으므로, 사전에 주차 위치를 확인해주세요 ! 매장 건너편 노상공영주차장: 매장 바로 건너편에는 무료로 이용할 수 있는 노상공영주 차장이 있습니다. 매장 방문 시 이 주차장을 먼저 ...",커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,1,0,0,8,6,25
